location_id,location_name,latitude,longitude,coordinate_basis,position_uncertainty_nm,validation_status,recommended_change,change_applied,review_notes
LOC013,Kwajalein,8.7167,167.7333,Atoll/anchorage centroid,15,validated_as_supplied,None. Retain the supplied modeled or centroid reference point and its uncertainty label.,FALSE,Geographic bounds and longitude sign reviewed; 2 event records reuse this location; the coordinate is not interpreted as an exact ship fix.
LOC014,Enewetak,11.35,162.35,Atoll/anchorage centroid,15,validated_as_supplied,None. Retain the supplied modeled or centroid reference point and its uncertainty label.,FALSE,Geographic bounds and longitude sign reviewed; 5 event records reuse this location; the coordinate is not interpreted as an exact ship fix.
LOC015,Saipan,15.2,145.75,Island/anchorage centroid,12,validated_as_supplied,None. Retain the supplied modeled or centroid reference point and its uncertainty label.,FALSE,Geographic bounds and longitude sign reviewed; 4 event records reuse this location; the coordinate is not interpreted as an exact ship fix.
LOC016,Guam,13.45,144.65,Harbor centroid,8,validated_as_supplied,None. Retain the supplied modeled or centroid reference point and its uncertainty label.,FALSE,Geographic bounds and longitude sign reviewed; single recorded visit; the coordinate is not interpreted as an exact ship fix.
LOC017,Ulithi,9.55,138.12,Atoll/anchorage centroid,15,validated_as_supplied,None. Retain the supplied modeled or centroid reference point and its uncertainty label.,FALSE,Geographic bounds and longitude sign reviewed; 3 event records reuse this location; the coordinate is not interpreted as an exact ship fix.
LOC018,Manus,-2.05,147.33,Harbor centroid,10,validated_as_supplied,None. Retain the supplied modeled or centroid reference point and its uncertainty label.,FALSE,Geographic bounds and longitude sign reviewed; single recorded visit; the coordinate is not interpreted as an exact ship fix.
LOC019,Tinian,14.97,145.62,Island/anchorage centroid,10,validated_as_supplied,None. Retain the supplied modeled or centroid reference point and its uncertainty label.,FALSE,Geographic bounds and longitude sign reviewed; single recorded visit; the coordinate is not interpreted as an exact ship fix.
LOC020,Iwo Jima,24.78,141.34,Estimated offshore fire-support point,8,validated_as_supplied,None. Retain the supplied modeled or centroid reference point and its uncertainty label.,FALSE,Geographic bounds and longitude sign reviewed; single recorded visit; the coordinate is not interpreted as an exact ship fix.
LOC021,Kerama Retto,26.1667,127.3,Anchorage/attack-area modeling point; Kerama Retto anchorage / published attack-area approximation,5,validated_as_supplied,None. Retain the supplied modeled or centroid reference point and its uncertainty label.,FALSE,Geographic bounds and longitude sign reviewed; 6 event records reuse this location; the coordinate is not interpreted as an exact ship fix.
LOC022,Buckner Bay,26.22,127.88,Bay centroid,10,validated_as_supplied,None. Retain the supplied modeled or centroid reference point and its uncertainty label.,FALSE,Geographic bounds and longitude sign reviewed; 3 event records reuse this location; the coordinate is not interpreted as an exact ship fix.
LOC023,Sasebo,33.16,129.72,Harbor centroid,5,validated_as_supplied,None. Retain the supplied modeled or centroid reference point and its uncertainty label.,FALSE,Geographic bounds and longitude sign reviewed; 2 event records reuse this location; the coordinate is not interpreted as an exact ship fix.
